Animal,Day ,Shed,Strain,StudyVar
34,1,50,EDL933,A
34,2,26000,EDL933,A
34,3,144000,EDL933,A
34,4,15000,EDL933,A
34,5,35000,EDL933,A
34,7,950,EDL933,A
34,9,500,EDL933,A
34,11,50,EDL933,A
34,14,0,EDL933,A
35,1,6350,EDL933,A
35,2,3000,EDL933,A
35,3,850,EDL933,A
35,4,500,EDL933,A
35,5,0,EDL933,A
35,7,0,EDL933,A
35,9,0,EDL933,A
35,11,0,EDL933,A
35,14,0,EDL933,A
37,1,120000,EDL933,A
37,2,50,EDL933,A
37,3,15000,EDL933,A
37,4,50000,EDL933,A
37,5,305000,EDL933,A
37,7,50,EDL933,A
37,9,50,EDL933,A
37,11,50,EDL933,A
37,14,0,EDL933,A
434,1,250,EDL933,B
434,2,700,EDL933,B
434,3,1150,EDL933,B
434,4,850,EDL933,B
434,5,1800,EDL933,B
434,7,50,EDL933,B
434,9,0,EDL933,B
434,11,0,EDL933,B
434,14,0,EDL933,B
435,1,150,EDL933,B
435,2,600,EDL933,B
435,3,950,EDL933,B
435,4,50,EDL933,B
435,5,50,EDL933,B
435,7,50,EDL933,B
435,9,0,EDL933,B
435,11,0,EDL933,B
435,14,0,EDL933,B
428,1,35000,EDL933,B
428,2,180000,EDL933,B
428,3,100000,EDL933,B
428,4,130000,EDL933,B
428,5,615000,EDL933,B
428,7,7550,EDL933,B
428,9,600,EDL933,B
428,11,4200,EDL933,B
428,14,2150,EDL933,B
431,1,700,EDL933,B
431,2,15000,EDL933,B
431,3,2100,EDL933,B
431,4,30000,EDL933,B
431,5,12000,EDL933,B
431,7,19500,EDL933,B
431,9,3150,EDL933,B
431,11,50,EDL933,B
431,14,0,EDL933,B
26,1,2750,FRIK1989,A
26,2,7600,FRIK1989,A
26,3,150,FRIK1989,A
26,4,50,FRIK1989,A
26,5,0,FRIK1989,A
26,7,0,FRIK1989,A
26,9,0,FRIK1989,A
26,11,0,FRIK1989,A
26,14,0,FRIK1989,A
27,1,6900,FRIK1989,A
27,2,24000,FRIK1989,A
27,3,1500000,FRIK1989,A
27,4,5600,FRIK1989,A
27,5,23500,FRIK1989,A
27,7,450,FRIK1989,A
27,9,50,FRIK1989,A
27,11,50,FRIK1989,A
27,14,0,FRIK1989,A
28,1,5000,FRIK1989,A
28,2,5000,FRIK1989,A
28,3,5000,FRIK1989,A
28,4,25000,FRIK1989,A
28,5,0,FRIK1989,A
28,7,7500,FRIK1989,A
28,9,0,FRIK1989,A
28,11,50,FRIK1989,A
28,14,0,FRIK1989,A
29,1,3350,FRIK1989,A
29,2,7400,FRIK1989,A
29,3,1355000,FRIK1989,A
29,4,660000,FRIK1989,A
29,5,60000,FRIK1989,A
29,7,550,FRIK1989,A
29,9,1600,FRIK1989,A
29,11,50,FRIK1989,A
29,14,0,FRIK1989,A
427,1,300,FRIK1989,B
427,2,17000,FRIK1989,B
427,3,26000,FRIK1989,B
427,4,55500,FRIK1989,B
427,5,315000,FRIK1989,B
427,7,380000,FRIK1989,B
