Animal,Day,Swab,Strain,StudyVar
34,1,0,EDL933,A
34,2,30,EDL933,A
34,3,200,EDL933,A
34,4,900,EDL933,A
34,5,40,EDL933,A
34,7,10,EDL933,A
34,9,10,EDL933,A
34,11,10,EDL933,A
34,14,10,EDL933,A
35,1,90,EDL933,A
35,2,300,EDL933,A
35,3,0,EDL933,A
35,4,0,EDL933,A
35,5,0,EDL933,A
35,7,10,EDL933,A
35,9,0,EDL933,A
35,11,0,EDL933,A
35,14,0,EDL933,A
37,1,470,EDL933,A
37,2,1700,EDL933,A
37,3,5000,EDL933,A
37,4,10400,EDL933,A
37,5,5200,EDL933,A
37,7,1000,EDL933,A
37,9,1680,EDL933,A
37,11,10,EDL933,A
37,14,10,EDL933,A
428,1,7000,EDL933,B
428,2,36000,EDL933,B
428,3,20000,EDL933,B
428,4,26000,EDL933,B
428,5,123000,EDL933,B
428,7,1510,EDL933,B
428,9,120,EDL933,B
428,11,840,EDL933,B
428,14,430,EDL933,B
431,1,140,EDL933,B
431,2,3000,EDL933,B
431,3,420,EDL933,B
431,4,6000,EDL933,B
431,5,2400,EDL933,B
431,7,3900,EDL933,B
431,9,630,EDL933,B
431,11,10,EDL933,B
431,14,0,EDL933,B
434,1,50,EDL933,B
434,2,140,EDL933,B
434,3,230,EDL933,B
434,4,170,EDL933,B
434,5,360,EDL933,B
434,7,10,EDL933,B
434,9,0,EDL933,B
434,11,0,EDL933,B
434,14,0,EDL933,B
435,1,30,EDL933,B
435,2,120,EDL933,B
435,3,190,EDL933,B
435,4,10,EDL933,B
435,5,10,EDL933,B
435,7,10,EDL933,B
435,9,0,EDL933,B
435,11,0,EDL933,B
435,14,0,EDL933,B
26,1,0,FRIK1989,A
26,2,10,FRIK1989,A
26,3,0,FRIK1989,A
26,4,0,FRIK1989,A
26,5,0,FRIK1989,A
26,7,0,FRIK1989,A
26,9,0,FRIK1989,A
26,11,0,FRIK1989,A
26,14,0,FRIK1989,A
27,1,10,FRIK1989,A
27,2,70,FRIK1989,A
27,3,30,FRIK1989,A
27,4,10,FRIK1989,A
