#FILE	SEQUENCE	START	END	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT
86-24.fasta	CP038408.1	30762	33170	espY4	1-2409/2409	===============	0/0	100.00	100.00	vfdb	NP_290352	(espY4) Type III secretion system effector EspY4 [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	55539	55642	entD	11-114/771	===...../......	2/2	13.36	93.33	vfdb	NP_752599	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228)] [Escherichia coli CFT073]
86-24.fasta	CP038408.1	96840	98036	espG	1-1197/1197	===============	0/0	100.00	100.00	vfdb	NP_290289	(espG) Type III secretion system effector EspG GTPase activating protein [EspG (VF0201)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	99685	99903	escE	1-219/219	===============	0/0	100.00	100.00	vfdb	NP_290287	(escE) chaperone for EscF [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	99907	100230	cesAB	1-324/324	===============	0/0	100.00	100.00	vfdb	NP_290286	(cesAB) chaperone for EspA and EspB [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	100852	101466	escL	1-615/615	===============	0/0	100.00	100.00	vfdb	NP_290284	(escL) negative regulator EscL stator protein [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	101471	102124	escR	1-654/654	===============	0/0	100.00	100.00	vfdb	NP_290283	(escR) Type III secretion systemminor export apparatus protein EscR [TTSS (VF0191)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	102124	102393	escS	1-270/270	===============	0/0	100.00	100.00	vfdb	NP_290282	(escS) Type III secretion systemminor export apparatus protein EscS [TTSS (VF0191)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	102393	103169	escT	1-777/777	===============	0/0	100.00	100.00	vfdb	NP_290281	(escT) Type III secretion system minor export apparatus protein EscT [TTSS (VF0191)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	103162	104199	escU	1-1038/1038	===============	0/0	100.00	100.00	vfdb	NP_290280	(escU) Type III secretion system export apparatus switch protein EscU [TTSS (VF0191)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	104196	104654	etgA	1-459/459	===============	0/0	100.00	100.00	vfdb	NP_290279	(etgA) T3SS-associated peptidoglycan lytic enzyme  [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	106073	106528	cesD	1-456/456	===============	0/0	100.00	100.00	vfdb	NP_290276	(cesD) chaperone for EspB and EspD [TTSS (VF0191)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	106542	108080	escC	1-1539/1539	===============	0/0	100.00	100.00	vfdb	NP_290275	(escC) Type III secretion system secretin EscC [TTSS (VF0191)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	108080	108535	sepD	1-456/456	===============	0/0	100.00	100.00	vfdb	NP_290274	(sepD) Type III secretion system secretion switch protein SepD [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	108541	109113	escJ	1-573/573	===============	0/0	100.00	100.00	vfdb	NP_290273	(escJ) Type III secretion system inner MS ring protein EscJ [TTSS (VF0191)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	109116	109544	escI	1-429/429	===============	0/0	100.00	100.00	vfdb	NP_290272	(escI) Type III secretion system inner rod component EscI [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	109577	109876	sepZ/espZ	1-300/300	===============	0/0	100.00	100.00	vfdb	NP_290271	(sepZ/espZ) Type III secretion system effector EspZ [TTSS (VF0191)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	110061	110414	cesL	1-354/354	===============	0/0	100.00	99.72	vfdb	NP_290270	(cesL) chaperone for SepL [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	110411	112438	escV	1-2028/2028	===============	0/0	100.00	100.00	vfdb	NP_290269	(escV) Type III secretion system major export apparatus protein [TTSS (VF0191)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	112422	113762	escN	1-1341/1341	===============	0/0	100.00	100.00	vfdb	NP_290268	(escN) ATPase EscN [TTSS (VF0191)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	113765	114142	escO	1-378/378	===============	0/0	100.00	100.00	vfdb	NP_290267	(escO) positive regulator EscO [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	114276	114551	escP	1-276/276	===============	0/0	100.00	100.00	vfdb	NP_290266	(escP) Type III secretion system needle length regulator EscP [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	114514	115431	sepQ/escQ	1-918/918	===============	0/0	100.00	100.00	vfdb	NP_290265	(sepQ/escQ) Type III secetion system C ring protein EscQ [TTSS (VF0191)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	115462	115968	espH	1-507/507	===============	0/0	100.00	100.00	vfdb	NP_290264	(espH) Type III secretion system effector EspH RhoGEF Inhibitor [EspH (VF0197)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	116166	116549	cesF	1-384/384	===============	0/0	100.00	100.00	vfdb	NP_290263	(cesF) CesF chaperone for EspF [TTSS (VF0191)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	116815	117426	map	1-612/612	===============	0/0	100.00	100.00	vfdb	NP_290262	(map) Type III secretion system effector Map Rho guanine exchange factor [Map (VF0195)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	117850	119526	tir	1-1677/1677	===============	0/0	100.00	99.94	vfdb	NP_290261	(tir) translocated intimin receptor protein [Tir (VF0193)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	119664	120134	cesT	1-471/471	===============	0/0	100.00	100.00	vfdb	NP_290260	(cesT) multieffector chaperone [LEE encoded T3SS (SS020)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	120194	122598	eae	1-2401/2820	========/====..	9/20	84.86	91.38	vfdb	AAC38392	(eae) intimin [Intimin (VF0177)] [Escherichia coli O127:H6 str. E2348/69]
86-24.fasta	CP038408.1	123262	124482	escD	1-1221/1221	===============	0/0	100.00	100.00	vfdb	NP_290258	(escD) Type III secretion system outer MS ring protein EscD [TTSS (VF0191)] [Escherichia coli O157:H7 str. EDL933]
86-24.fasta	CP038408.1	124625	125680	sepL	1-1056/1056	===============	0/0	100.00	100.00	vfdb	NP_290257	(sepL) Type III secretion system secretion gatekeeper SepL [TTSS (VF0191)] [Escherichia coli O157:H7 str. EDL933]
